whois_regDate,whois_expDate,number_of.,url_length,number_of_digits,number_of_special_charac,number_of-,number_of//,number_of/,number_of@,HTTP_check,number_of_protocols,number_of_subdomains,IP_in_url,number_of_.com,Port_in_URL,number_of_www,short_URL
8244,1617,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10303,288,3,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6670,269,2,27,0,0,0,1,3,0,0,1,0,0,0,0,1,0
3797,220,1,20,0,0,0,1,3,0,0,1,0,0,1,0,0,0
7332,3259,2,33,0,0,1,1,3,0,0,1,0,0,1,0,1,0
7514,521,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
3154,3055,2,19,0,0,0,1,3,0,0,1,0,0,0,0,1,0
-1,-1,2,30,4,0,0,1,3,0,0,1,0,0,1,1,1,0
10466,125,2,31,0,0,0,1,3,0,0,1,0,0,1,0,1,1
9261,3036,2,29,0,0,1,1,3,0,0,1,0,0,1,0,1,0
7459,211,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9217,318,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8238,3084,1,18,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9777,438,2,20,0,0,0,1,3,0,0,1,0,0,0,0,1,0
3339,313,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
7247,422,2,41,6,1,0,1,4,0,1,1,0,0,1,0,1,0
6758,911,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
2911,375,1,27,0,0,0,1,3,0,0,1,0,0,1,0,0,0
5932,641,1,17,1,0,0,1,3,0,0,1,0,0,1,0,0,0
11584,467,1,29,0,0,1,1,5,0,0,1,0,0,1,0,0,0
9325,171,2,30,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9188,308,3,32,0,0,0,1,3,0,0,1,0,0,1,0,1,0
2765,521,1,41,0,0,0,1,4,0,0,1,0,0,1,0,0,0
7011,658,2,33,5,2,0,1,3,0,0,1,0,0,1,0,1,1
9240,256,2,28,0,0,0,1,3,0,0,1,0,0,1,0,1,0
5928,376,2,22,0,0,0,1,3,0,0,1,0,0,0,0,1,0
8646,484,1,20,0,0,0,1,3,0,0,1,0,0,1,0,0,0
11395,658,2,27,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7263,326,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
8916,186,2,22,0,0,0,1,3,0,0,1,0,0,0,0,1,0
10091,134,2,27,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10332,1721,3,42,0,2,1,1,3,0,0,1,2,0,0,0,0,0
7235,1585,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10126,464,2,21,4,0,0,1,3,0,0,1,0,0,1,0,1,0
9379,3038,2,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
1027,798,1,29,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10133,822,2,22,0,0,0,1,2,0,0,1,0,0,1,0,1,0
6793,1047,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
11345,341,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9360,500,3,37,0,0,0,1,4,0,0,1,1,0,1,0,0,0
5884,1420,2,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10400,2525,2,24,0,0,1,1,3,0,0,1,0,0,1,0,1,0
6063,1241,2,22,1,0,0,1,3,0,0,1,0,0,1,0,1,0
2586,335,1,26,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10927,199,1,71,5,2,1,1,7,0,0,1,0,0,1,0,0,0
7273,1492,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10573,360,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
3988,29,1,26,0,0,0,1,3,0,0,1,0,0,0,0,0,0
9498,362,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10031,561,2,17,2,0,0,1,2,0,1,1,0,0,0,0,1,0
7201,2659,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7061,608,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,1
3283,369,1,20,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9146,2907,2,26,0,0,0,1,3,0,0,1,0,0,0,0,1,0
9217,279,2,28,0,0,0,1,3,0,0,1,0,0,1,0,1,0
4571,542,2,28,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10371,3365,2,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6052,157,1,23,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9481,2570,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9794,1527,2,54,0,0,0,1,5,0,0,1,1,0,1,0,0,0
8071,1060,3,29,0,0,0,1,4,0,0,1,0,0,0,0,1,0
10611,2536,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10204,216,5,36,0,2,0,1,3,0,0,1,0,0,1,0,2,0
10435,521,1,20,0,0,0,1,3,0,0,1,0,0,0,0,0,0
5569,274,3,76,11,8,0,1,3,0,0,1,0,0,0,0,1,0
11086,602,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8103,297,1,20,0,0,0,1,3,0,0,1,0,0,1,0,0,0
7545,1220,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7442,229,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
5889,2145,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
5088,25,2,23,0,0,0,1,2,0,0,1,0,0,1,0,1,0
-1,-1,2,33,3,0,0,1,3,0,0,1,0,0,1,1,1,0
7786,249,2,26,0,0,0,1,3,0,0,1,0,0,0,0,1,0
6584,359,2,22,0,0,0,1,3,0,0,1,0,0,0,0,1,0
7627,408,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
7748,287,2,25,0,0,0,1,4,0,0,1,0,0,1,0,1,0
9622,1521,2,42,0,4,0,1,3,0,0,1,0,0,1,0,1,0
9249,2438,2,26,0,0,0,1,3,0,0,1,0,0,1,0,1,1
8965,166,2,25,1,0,0,1,3,0,0,1,0,0,1,0,1,0
9794,1527,2,22,0,0,0,1,3,0,1,1,0,0,1,0,1,0
9266,2786,2,30,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10431,525,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
3821,196,1,18,0,0,0,1,3,0,0,1,0,0,1,0,0,0
4242,3427,1,18,0,0,0,1,3,0,0,1,0,0,1,0,0,0
6516,58,1,23,0,0,0,1,3,0,0,1,0,0,1,0,0,0
5255,223,2,37,0,0,0,1,4,0,0,1,0,0,0,0,0,0
7535,500,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10931,2878,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
8896,234,1,15,1,0,0,1,2,0,0,1,0,0,0,0,0,0
3625,2218,1,21,0,0,0,1,3,0,0,1,0,0,1,0,0,0
6333,241,2,29,0,0,0,1,3,0,0,1,0,0,1,0,1,0
650,80,1,22,0,0,0,1,3,0,1,1,0,0,0,0,0,0
10405,1281,2,30,0,0,0,1,3,0,0,1,1,0,1,0,0,1
9102,29,1,24,0,0,0,1,3,0,0,1,0,0,0,0,0,0
6498,77,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7512,2714,1,21,0,0,0,1,3,0,0,1,0,0,0,0,0,0
4628,485,2,39,0,0,0,1,3,0,0,1,0,0,1,0,1,0
5996,214,2,29,0,0,0,1,3,0,0,1,0,0,0,0,1,0
8410,1816,1,22,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10483,473,2,28,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7838,197,2,33,0,0,0,1,4,0,0,1,0,0,1,0,1,0
8906,590,1,20,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9344,151,2,20,0,0,0,1,3,0,0,1,0,0,0,0,1,0
6132,77,2,32,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9346,2340,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
8899,2788,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
4908,2396,2,25,1,0,0,1,3,0,0,1,0,0,1,0,1,0
10353,239,2,21,0,0,0,1,3,0,0,1,0,0,0,0,1,0
7656,379,2,22,0,0,0,1,3,0,0,1,0,0,0,0,1,0
9540,320,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10540,2973,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10633,688,2,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7060,244,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6454,1946,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10148,2999,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9048,166,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
13003,144,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10204,749,3,28,0,0,0,1,3,0,0,1,0,0,0,0,1,0
7774,626,1,22,0,0,0,1,3,0,0,1,0,0,0,0,0,0
-1,-1,2,22,0,0,0,1,4,0,0,1,0,0,0,0,1,0
6066,143,3,38,0,0,0,1,3,0,0,1,0,0,0,0,1,0
8694,371,2,22,0,0,0,1,3,0,0,1,0,0,0,0,1,0
10815,506,2,27,0,0,0,1,4,0,0,1,0,0,1,0,1,0
9307,189,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7389,3202,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7883,152,2,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10711,247,2,27,0,0,0,1,3,0,0,1,0,0,1,0,1,0
5416,1157,2,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7583,87,1,23,0,0,0,1,3,0,0,1,0,0,1,0,0,0
6677,262,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6345,2420,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
14008,237,3,34,0,0,1,1,4,0,0,1,0,0,1,0,1,0
10628,328,2,38,0,0,1,1,4,0,0,1,0,0,1,0,1,0
4108,639,1,21,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10050,1270,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,1
8734,396,1,17,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9861,364,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
99,265,1,20,1,0,0,1,3,0,0,1,0,0,0,0,0,0
8263,137,1,21,0,0,0,1,3,0,0,1,0,0,1,0,0,0
8513,252,2,34,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10282,190,2,26,0,0,0,1,3,0,0,1,0,0,0,0,1,0
6363,2151,1,20,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10244,174,2,20,0,0,0,1,3,0,0,1,0,0,0,0,1,0
7861,1269,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,1
11781,3559,3,37,0,0,0,1,5,0,0,1,0,0,1,0,1,0
2766,155,1,23,0,0,0,1,3,0,0,1,0,0,1,0,0,0
8060,1070,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
8937,2020,1,21,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10204,937,3,30,0,0,0,1,3,0,0,1,0,0,0,0,1,1
9188,308,2,31,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7559,1937,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8527,238,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
4466,281,2,23,1,0,0,1,3,0,0,1,0,0,1,0,1,0
13992,253,2,25,0,0,1,1,3,0,0,1,0,0,1,0,1,0
8945,3108,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
5464,1840,2,27,0,0,0,1,3,0,0,1,0,0,1,0,1,0
5112,732,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6085,348,1,23,0,0,0,1,3,0,0,1,0,0,1,0,0,0
4649,829,1,23,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9981,246,2,30,0,0,0,1,3,0,0,1,0,0,1,0,1,1
5326,882,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
-1,-1,2,18,0,0,0,1,3,0,0,1,0,0,0,0,1,0
10843,113,2,20,0,0,0,1,3,0,0,1,0,0,1,0,1,0
3917,305,3,32,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9678,182,2,19,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6157,53,1,18,0,0,0,1,3,0,0,1,0,0,1,0,0,0
2229,327,2,21,0,0,0,1,3,0,0,1,0,0,0,0,1,0
8944,1648,2,40,0,0,1,1,3,0,0,1,0,0,0,0,1,0
7011,2484,2,27,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8945,3108,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
4150,232,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
2660,261,1,26,0,0,0,1,3,0,0,1,0,0,1,0,0,0
5915,658,1,19,0,0,0,1,4,0,0,1,0,0,0,0,0,0
6674,265,1,24,0,0,0,1,3,0,0,1,0,0,0,0,0,0
11099,162,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,1
3396,256,1,22,0,0,0,1,3,0,0,1,0,0,1,0,0,0
6069,505,1,24,0,0,0,1,3,0,0,1,0,0,0,0,0,0
6929,2201,1,18,0,0,0,1,3,0,0,1,0,0,1,0,0,0
13013,134,2,26,0,0,1,1,3,0,0,1,0,0,1,0,1,0
11241,80,2,28,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10038,187,2,34,0,0,1,1,4,0,0,1,0,0,1,0,1,0
8304,2287,2,32,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6820,120,2,24,0,0,0,1,3,0,0,1,0,0,0,0,1,0
12187,142,3,49,0,0,1,1,4,0,0,1,0,0,1,0,1,1
8077,323,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
4740,373,1,18,0,0,0,1,3,0,0,1,0,0,1,0,0,0
6521,53,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9274,222,2,20,0,0,0,1,3,0,0,1,0,0,1,0,1,1
6356,218,1,20,0,0,0,1,3,0,0,1,0,0,1,0,0,0
6246,328,1,36,0,0,0,1,4,0,0,1,0,0,1,0,0,0
5489,354,2,21,0,0,0,1,3,0,0,1,0,0,0,0,0,0
9372,123,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
4090,292,1,26,0,0,0,1,3,0,0,1,0,0,1,0,0,0
10651,1768,2,20,0,0,0,1,3,0,0,1,0,0,1,0,1,1
9008,489,1,23,0,0,0,1,3,0,0,1,0,0,0,0,0,0
9363,132,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10013,214,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
7852,548,2,23,1,0,0,1,3,0,0,1,0,0,1,0,1,0
9248,531,2,28,0,0,0,1,4,0,0,1,0,0,0,0,1,0
4473,639,1,19,1,0,0,1,3,0,0,1,0,0,1,0,0,0
9420,440,2,28,3,0,0,1,4,0,0,1,1,0,1,0,0,1
11088,1331,1,18,0,0,0,1,3,0,0,1,0,0,1,0,0,0
9036,1556,2,32,0,0,1,1,3,0,0,1,0,0,1,0,1,0
7480,556,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
4973,2331,1,19,0,0,0,1,3,0,0,1,0,0,1,0,0,0
1027,68,2,196,21,10,4,1,3,0,1,1,1,0,1,0,0,0
11151,170,2,34,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8829,2492,2,27,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9324,3094,2,21,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8733,91,2,20,0,0,0,1,3,0,0,1,0,0,0,0,1,0
10220,735,2,26,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8044,356,1,20,0,0,0,1,3,0,0,1,0,0,1,0,0,0
6781,158,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
8386,2570,2,31,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6900,1134,1,21,0,0,0,1,3,0,0,1,0,0,1,0,0,0
4519,595,3,25,0,0,0,1,3,0,0,1,0,0,0,0,1,0
7750,285,3,53,0,0,0,1,6,0,0,1,1,0,1,0,0,0
7571,99,2,62,0,3,0,1,4,0,0,1,0,0,1,0,1,0
6567,372,2,24,0,0,0,1,3,0,0,1,0,0,1,0,1,0
9966,3548,2,23,0,0,0,1,3,0,0,1,0,0,1,0,1,0
2702,219,1,23,0,0,0,1,3,0,0,1,0,0,0,0,0,0
6605,334,2,22,0,0,0,1,2,0,0,1,0,0,1,0,1,0
9377,1579,2,22,0,0,0,1,4,0,0,1,0,0,1,0,1,0
9591,269,2,22,0,0,0,1,3,0,0,1,0,0,1,0,1,0
10675,648,2,26,0,0,1,1,3,0,0,1,0,0,1,0,1,0
8790,1436,2,25,0,0,0,1,3,0,0,1,0,0,1,0,1,0
6492,447,3,40,0,0,0,1,3,0,0,1,0,0,1,0,1,1
11661,2216,2,22,0,0,0,1,2,0,0,1,0,0,1,0,1,0
8743,752,2,29,0,0,0,1,4,0,0,1,0,0,1,0,1,0
9168,328,2,22,0,0,0,1,3,0,0,1,0,0,0,0,1,0
8410,1816,1,39,0,0,1,1,4,0,0,1,0,0,1,0,0,0
9076,54,3,32,0,0,0,1,3,0,0,1,0,0,1,0,1,0
